Anyo,Semana,Sorteo,Fecha,Numero1,Numero2,Numero3,Numero4,Numero5,Estrella1,Estrella2,ElMillon
2020,1,002,7-ene,5,8,12,37,43,6,11,BPV01728
2020,1,003,10-ene,6,17,32,44,46,2,6,BST33327
2020,2,004,14-ene,21,25,29,39,44,8,9,BTR65604
2020,2,005,17-ene,8,19,20,29,44,3,8,BZB31614
2020,3,006,21-ene,10,11,24,36,46,3,5,CCL70059
2020,3,007,24-ene,3,4,6,9,24,5,8,CBQ37046
2020,4,008,28-ene,1,19,27,31,38,4,5,CFX12466
2020,4,009,31-ene,13,18,20,23,30,2,4,CGH08005
2020,5,010,4-feb,21,23,33,35,47,6,7,CJZ30544
2020,5,011,7-feb,9,15,17,25,40,3,9,CPK12451
2020,6,012,11-feb,24,26,32,43,46,6,10,CQX32862
2020,6,013,14-feb,5,20,35,41,49,6,10,CSN15162
2020,7,014,18-feb,11,32,34,38,47,2,10,CVV46607
2020,7,015,21-feb,7,23,30,32,45,5,9,CWR50202
2020,8,016,25-feb,1,4,18,27,42,4,6,DBC91756
2020,8,017,28-feb,8,11,20,22,23,3,4,DDJ82234
2020,9,018,3-mar,4,14,27,44,45,1,10,DFR24214
2020,9,019,6-mar,15,38,43,45,46,1,11,DFN35083
2020,10,020,10-mar,11,23,30,37,43,5,12,DJF98598
2020,10,021,13-mar,3,11,21,27,36,9,10,DMJ68605
2020,11,022,17-mar,5,7,8,16,20,2,12,DMK49867
2020,11,023,20-mar,3,9,20,34,40,6,12,DMM04889
2020,12,024,24-mar,7,12,26,30,33,10,11,Suspendido
2020,12,025,27-mar,11,14,27,41,46,2,3,Suspendido
2020,13,026,31-mar,12,17,24,30,36,1,9,Suspendido
2020,13,027,3-abr,16,19,34,46,50,2,6,Suspendido
2020,14,028,7-abr,4,5,14,33,48,7,12,Suspendido
2020,14,029,10-abr,3,10,17,33,39,1,4,Suspendido
2020,15,030,14-abr,6,29,34,35,40,4,11,Suspendido
2020,15,031,17-abr,16,28,32,37,45,1,11,Suspendido
2020,16,032,21-abr,10,11,14,23,28,6,8,Suspendido
2020,16,033,24-abr,1,5,19,21,28,4,7,Suspendido
2020,17,034,28-abr,15,23,26,28,32,1,5,Suspendido
2020,17,035,1-may,19,20,38,45,47,2,6,Suspendido
2020,18,036,5-may,2,10,22,27,41,2,3,Suspendido
2020,18,037,8-may,8,25,32,33,38,7,9,Suspendido
2020,19,038,12-may,9,16,29,37,39,4,11,Suspendido
2020,19,039,15-may,11,23,32,34,39,1,6,Suspendido
2020,20,040,19-may,5,25,32,37,43,6,7,BBL01449
2020,20,041,22-may,3,18,22,27,32,2,7,BCQ26357
2020,21,042,26-may,4,9,14,21,27,4,6,BFQ86819
2020,21,043,29-may,4,8,11,19,46,4,8,BGV94265
2020,22,044,2-jun,10,12,22,26,49,7,11,BHQ90769
2020,22,045,5-jun,5,11,17,24,37,3,6,BKB00263
2020,23,046,9-jun,5,15,27,36,46,2,8,BLB84078
2020,23,047,12-jun,2,24,39,45,46,4,8,BND31615
2020,24,048,16-jun,4,9,11,17,39,2,10,BLB39445
2020,24,049,19-jun,5,14,19,24,43,3,11,BRN50858
2020,25,050,23-jun,2,12,19,46,49,1,8,BSH62228
2020,25,051,26-jun,1,10,12,21,26,5,11,BSX99194
2020,26,052,30-jun,1,6,11,28,42,2,10,BXS82384
2020,26,053,3-jul,4,16,27,37,39,3,6,CBQ96302
2020,27,054,7-jul,12,16,23,33,41,8,10,CFK27111
2020,27,055,10-jul,15,17,23,30,38,2,7,BWG42941
2020,28,056,14-jul,11,22,30,37,47,9,10,CJT24439
2020,28,057,17-jul,7,15,27,41,43,7,9,CHZ73362
2020,29,058,21-jul,14,15,24,29,42,2,4,CNL38247
2020,29,059,24-jul,8,9,27,28,50,4,12,CND55355
2020,30,060,28-jul,9,13,15,17,34,2,7,CRF45468
2020,30,061,31-jul,21,24,30,46,49,2,5,CQT10355
2020,31,062,4-ago,1,2,5,15,42,5,8,CVQ35845
2020,31,063,7-ago,5,20,21,36,41,6,11,CTV04015
2020,32,064,11-ago,8,13,14,42,50,3,9,CZM13333
2020,32,065,14-ago,9,10,19,42,49,4,12,CZM64763
2020,33,066,18-ago,6,12,17,34,42,5,12,DDR11157
2020,33,067,21-ago,10,15,35,44,50,3,5,DGF31426
2020,34,068,25-ago,7,18,30,37,39,8,10,DJV18784
2020,34,069,28-ago,7,12,16,17,31,7,9,DNC86925
2020,35,070,1-sep,4,8,10,33,46,8,11,DQL54976
2020,35,071,4-sep,6,22,29,40,43,4,7,DVD87013
2020,36,072,8-sep,2,9,31,35,41,9,12,DWM85613
2020,36,073,11-sep,34,38,42,43,45,9,12,DWB76616
2020,37,074,15-sep,16,20,25,30,38,6,8,FCJ85583
2020,37,075,18-sep,2,10,19,25,45,1,7,FDS58476
2020,38,076,22-sep,16,25,28,39,40,1,6,FGW03260
2020,38,077,25-sep,19,23,34,37,45,1,7,FJF59363
2020,39,078,29-sep,4,14,16,41,44,11,12,FLV15174
2020,39,079,2-oct,6,12,15,40,45,3,9,FPS02845
2020,40,080,6-oct,4,21,36,41,47,9,11,FQV26471
2020,40,081,9-oct,11,15,35,41,50,5,8,FSD26506
2020,41,082,13-oct,5,14,38,41,46,1,10,FTZ01451
2020,41,083,16-oct,15,33,38,40,50,3,6,FWT19164
2020,42,084,20-oct,5,6,15,37,42,3,4,GCF06955
2020,42,085,23-oct,10,15,19,21,23,3,12,GDT59080
2020,43,086,27-oct,,,,,,,,
2020,43,087,30-oct,,,,,,,,
2020,44,088,3-nov,,,,,,,,
2020,44,089,6-nov,,,,,,,,
2020,45,090,10-nov,,,,,,,,
2020,45,091,13-nov,,,,,,,,
2020,46,092,17-nov,,,,,,,,
2020,46,093,20-nov,,,,,,,,
2020,47,094,24-nov,,,,,,,,
2020,47,095,27-nov,,,,,,,,
2020,48,096,1-dic,,,,,,,,
2020,48,097,4-dic,,,,,,,,
2020,49,098,8-dic,,,,,,,,
2020,49,099,11-dic,,,,,,,,
2020,50,100,15-dic,,,,,,,,
2020,50,101,18-dic,,,,,,,,
2020,51,102,22-dic,,,,,,,,
2020,51,103,25-dic,,,,,,,,
2020,52,104,29-dic,,,,,,,,
2020,52,2021/001,1-ene,,,,,,,,
2019,1,001,1-ene,11,25,8,28,1,4,6,
2019,1,002,4-ene,19,7,11,37,27,10,6,MHT56286
2019,2,003,8-ene,19,32,31,3,22,2,11,
2019,2,004,11-ene,19,48,31,39,1,6,1,MMN18701
